"time","temp_C"
26.6666666666667,8.33333333333333
39.75,5
75,5.85714285714286
104.2,8.5
143.333333333333,12
151,13.1617747440273
192.166666666667,19.4
227,19.2
258,18.6
283.6,16.4
326,12
345,11.5
391.666666666667,8.33333333333333
404.75,5
440,5.85714285714286
469.2,8.5
508.333333333333,12
516,13.1617747440273
557.166666666667,19.4
592,19.2
623,18.6
648.6,16.4
691,12
710,11.5
756.666666666667,8.33333333333333
769.75,5
805,5.85714285714286
834.2,8.5
873.333333333333,12
881,13.1617747440273
922.166666666667,19.4
957,19.2
988,18.6
1013.6,16.4
1056,12
1075,11.5
1121.66666666667,8.33333333333333
1134.75,5
1170,5.85714285714286
1199.2,8.5
1238.33333333333,12
1246,13.1617747440273
1287.16666666667,19.4
1322,19.2
1353,18.6
1378.6,16.4
1421,12
1440,11.5
